"species"	"LON"	"LAT"	"ADM0_A3"	"climate"	"bioc1"	"bioc2"	"bioc3"	"bioc4"	"bioc5"	"bioc6"	"bioc7"	"bioc8"	"bioc9"	"bioc10"	"bioc11"	"bioc12"	"bioc13"	"bioc14"	"bioc15"	"bioc16"	"bioc17"	"bioc18"	"bioc19"
"Cucurbita_cordata"	-109.775	23.375	"MEX"	"baseline"	22.55	13.36	54.99	442.2	34.1	9.8	24.3	27.9	21.08	27.9	17.19	401	150	1	137.47	297	3	297	37
"Cucurbita_cordata"	-109.9279362	23.4513848	"MEX"	"baseline"	17.55	13.39	61.71	343.37	27.91	6.21	21.7	21.76	16.3	21.76	13.47	641	201	2	124.74	469	10	469	69
"Cucurbita_cordata"	-109.9625	23.226944	"MEX"	"baseline"	20.24	12.93	59.05	368.55	30.69	8.79	21.9	24.84	18.78	24.84	15.87	484	169	1	134.1	363	5	363	48
"Cucurbita_cordata"	-110.025	23.058333	"MEX"	"baseline"	22.21	12.82	58.69	376.82	32.44	10.6	21.84	27.06	20.35	27.06	17.9	317	112	0	130.34	227	2	227	38
"Cucurbita_cordata"	-110.0837089	23.50039356	"MEX"	"baseline"	21.39	14.39	59.74	398.49	33.08	8.99	24.09	26.49	21.88	26.49	16.7	364	129	1	136.09	274	3	274	41
"Cucurbita_cordata"	-110.108333	23.608333	"MEX"	"baseline"	21.22	14.49	59.96	395.86	33.04	8.88	24.16	26.23	21.87	26.23	16.52	386	138	1	136.28	292	4	292	40
"Cucurbita_cordata"	-110.4315463	24.0434888	"MEX"	"baseline"	23.08	16.49	60.1	448.17	36.47	9.03	27.44	28.7	23.83	28.7	17.6	207	70	0	122.73	144	2	144	32
"Cucurbita_cordata"	-110.83	24.13	"MEX"	"baseline"	21.24	16.49	66.04	362.42	33.36	8.4	24.96	25.8	21.6	25.8	16.87	162	49	0	111.92	107	1	107	31
"Cucurbita_cordata"	-110.841667	24.141667	"MEX"	"baseline"	21.25	16.54	66.97	350.37	33.17	8.47	24.7	25.67	21.48	25.67	17.05	143	43	0	107.96	91	0	91	31
"Cucurbita_cordata"	-110.97	24.87	"MEX"	"baseline"	22.63	17.36	59.77	462.1	37.3	8.25	29.05	28.43	23.64	28.43	17.08	240	74	0	120.37	167	1	167	44
"Cucurbita_cordata"	-110.975	24.875	"MEX"	"baseline"	22.63	17.36	59.77	462.1	37.3	8.25	29.05	28.43	23.64	28.43	17.08	240	74	0	120.37	167	1	167	44
"Cucurbita_cordata"	-110.983	24.083	"MEX"	"baseline"	20.85	14.57	62.79	339.27	32.36	9.15	23.21	25.12	20.24	25.25	17.1	95	25	0	94.86	56	0	54	17
"Cucurbita_cordata"	-110.983278	24.083139	"MEX"	"baseline"	20.85	14.57	62.79	339.27	32.36	9.15	23.21	25.12	20.24	25.25	17.1	95	25	0	94.86	56	0	54	17
"Cucurbita_cordata"	-110.983278	24.083139	"MEX"	"baseline"	20.85	14.57	62.79	339.27	32.36	9.15	23.21	25.12	20.24	25.25	17.1	95	25	0	94.86	56	0	54	17
"Cucurbita_cordata"	-110.991667	24.091667	"MEX"	"baseline"	21.05	15.51	64.78	336.77	32.81	8.87	23.94	25.22	20.59	25.4	17.31	101	27	0	92.96	58	0	57	20
"Cucurbita_cordata"	-110.991667	24.091667	"MEX"	"baseline"	21.05	15.51	64.78	336.77	32.81	8.87	23.94	25.22	20.59	25.4	17.31	101	27	0	92.96	58	0	57	20
"Cucurbita_cordata"	-111.0109816	24.2857661	"MEX"	"baseline"	21.69	17.02	65.15	374.57	34.4	8.28	26.12	26.53	21.81	26.53	17.25	123	33	0	99.28	74	0	74	31
"Cucurbita_cordata"	-111.35	26	"MEX"	"baseline"	23.53	14.13	53.24	523.12	36.25	9.7	26.55	28.94	24.2	30.23	17.38	183	58	0	111.49	117	0	114	42
"Cucurbita_cordata"	-111.351944	26.024444	"MEX"	"baseline"	23.62	13.79	52.88	519.72	36.18	10.1	26.08	29.03	24.25	30.26	17.53	184	59	0	113.08	119	0	116	41
"Cucurbita_cordata"	-111.358333	26.025	"MEX"	"baseline"	23.62	13.79	52.88	519.72	36.18	10.1	26.08	29.03	24.25	30.26	17.53	184	59	0	113.08	119	0	116	41
"Cucurbita_cordata"	-111.368889	25.903333	"MEX"	"baseline"	22.74	13.24	51.73	504.24	35.26	9.67	25.6	27.77	23.58	29.18	16.78	214	71	0	118.4	141	1	139	46
"Cucurbita_cordata"	-111.391667	25.916667	"MEX"	"baseline"	23.22	13.97	53.08	511.89	35.95	9.63	26.32	28.4	23.97	29.76	17.18	200	65	0	115.61	130	1	128	44
"Cucurbita_cordata"	-111.391667	25.925	"MEX"	"baseline"	23.22	13.97	53.08	511.89	35.95	9.63	26.32	28.4	23.97	29.76	17.18	200	65	0	115.61	130	1	128	44
"Cucurbita_cordata"	-111.4609177	25.9576506	"MEX"	"baseline"	21.38	15.35	55.47	493.11	35.43	7.76	27.67	27.64	22.44	27.64	15.55	301	93	0	118.13	204	3	204	59
"Cucurbita_cordata"	-111.466667	25.916667	"MEX"	"baseline"	21.38	15.35	55.47	493.11	35.43	7.76	27.67	27.64	22.44	27.64	15.55	301	93	0	118.13	204	3	204	59
"Cucurbita_cordata"	-111.4969647	25.9484161	"MEX"	"baseline"	21.38	15.35	55.47	493.11	35.43	7.76	27.67	27.64	22.44	27.64	15.55	301	93	0	118.13	204	3	204	59
"Cucurbita_cordata"	-111.533333	25.933333	"MEX"	"baseline"	21.2	15.87	56.52	488.12	35.51	7.44	28.07	27.45	22.19	27.45	15.47	304	93	0	117.69	206	3	206	60
"Cucurbita_cordata"	-111.541667	25.916667	"MEX"	"baseline"	21.23	15.96	57.21	479.99	35.46	7.56	27.9	27.43	22.06	27.43	15.64	298	90	0	116.42	201	3	201	60
"Cucurbita_cordata"	-111.541667	25.925	"MEX"	"baseline"	21.23	15.96	57.21	479.99	35.46	7.56	27.9	27.43	22.06	27.43	15.64	298	90	0	116.42	201	3	201	60
"Cucurbita_cordata"	-111.5421361	25.9346977	"MEX"	"baseline"	21.23	15.96	57.21	479.99	35.46	7.56	27.9	27.43	22.06	27.43	15.64	298	90	0	116.42	201	3	201	60
"Cucurbita_cordata"	-111.563475	25.676353	"MEX"	"baseline"	21.77	15.6	58.85	448.23	35.04	8.54	26.5	27.76	22.01	27.76	16.64	230	68	0	112.56	146	2	146	53
"Cucurbita_cordata"	-111.617512	26.206709	"MEX"	"baseline"	21.37	15.2	54.04	512.19	35.66	7.54	28.12	27.84	22.56	27.84	15.32	283	84	0	114.56	191	3	191	56
"Cucurbita_cordata"	-111.648485	26.456451	"MEX"	"baseline"	23.84	15.44	52.75	553.1	38.55	9.28	29.27	30.79	25.1	30.79	17.25	168	52	0	113.64	111	0	111	36
"Cucurbita_cordata"	-111.7300052	25.947488	"MEX"	"baseline"	21.36	16.13	58.31	469.65	35.4	7.73	27.67	27.64	21.72	27.64	16	250	71	0	109.01	160	3	160	56
"Cucurbita_cordata"	-111.775	26.358333	"MEX"	"baseline"	22.54	15.22	53.33	531.1	36.96	8.43	28.53	29.31	23.67	29.31	16.25	209	62	0	110.73	137	2	137	45
"Cucurbita_cordata"	-111.775	26.358333	"MEX"	"baseline"	22.54	15.22	53.33	531.1	36.96	8.43	28.53	29.31	23.67	29.31	16.25	209	62	0	110.73	137	2	137	45
"Cucurbita_cordata"	-111.791667	26.358333	"MEX"	"baseline"	22.35	15.24	53.62	525.07	36.74	8.32	28.42	29.07	23.4	29.07	16.15	213	62	0	109.42	139	2	139	46
"Cucurbita_cordata"	-111.791667	26.358333	"MEX"	"baseline"	22.35	15.24	53.62	525.07	36.74	8.32	28.42	29.07	23.4	29.07	16.15	213	62	0	109.42	139	2	139	46
"Cucurbita_cordata"	-111.925	25.491667	"MEX"	"baseline"	20.88	17.39	61.86	408.98	34.79	6.67	28.12	25.8	20.11	26.67	16.42	123	29	0	91.53	66	0	63	41
"Cucurbita_cordata"	-111.941667	26.875	"MEX"	"baseline"	24.23	13.44	48.59	583.75	38.11	10.46	27.65	31.41	25.71	31.41	17.27	161	44	0	101.32	99	1	99	39
"Cucurbita_cordata"	-111.958333	25.925	"MEX"	"baseline"	22.36	17.03	61.76	434.45	36.34	8.76	27.58	27.31	21.93	28.4	17.65	131	31	0	91.12	71	0	69	42
"Cucurbita_cordata"	-112.045061	26.9105096	"MEX"	"baseline"	24.5	14.12	50.19	580.29	38.5	10.36	28.14	31.58	26.12	31.58	17.51	153	39	0	97.48	92	1	92	38
"Cucurbita_cordata"	-112.0622982	26.802645	"MEX"	"baseline"	24.44	15.5	51.78	588.86	39.42	9.48	29.94	31.63	26.1	31.63	17.34	163	43	0	99.39	100	1	100	40
"Cucurbita_cordata"	-112.291667	27.341667	"MEX"	"baseline"	23.39	12.53	48.95	535.5	36.34	10.73	25.6	30.06	24.49	30.06	17.01	140	42	0	108.11	90	0	90	30
"Cucurbita_cordata"	-112.291667	27.341667	"MEX"	"baseline"	23.39	12.53	48.95	535.5	36.34	10.73	25.6	30.06	24.49	30.06	17.01	140	42	0	108.11	90	0	90	30
"Cucurbita_cordata"	-112.316611	27.083444	"MEX"	"baseline"	22.25	14.33	51.48	540.47	36.45	8.62	27.83	28.83	23.86	28.83	15.71	195	54	0	106.93	128	2	128	41
"Cucurbita_cordata"	-112.317	27.083	"MEX"	"baseline"	22.45	14.58	51.86	539.56	36.76	8.64	28.12	28.99	24.1	28.99	15.89	191	52	0	107.16	125	1	125	41
"Cucurbita_cordata"	-112.325	27.091667	"MEX"	"baseline"	22.25	14.33	51.48	540.47	36.45	8.62	27.83	28.83	23.86	28.83	15.71	195	54	0	106.93	128	2	128	41
"Cucurbita_cordata"	-112.325	27.091667	"MEX"	"baseline"	22.25	14.33	51.48	540.47	36.45	8.62	27.83	28.83	23.86	28.83	15.71	195	54	0	106.93	128	2	128	41
"Cucurbita_cordata"	-112.325	27.091667	"MEX"	"baseline"	22.25	14.33	51.48	540.47	36.45	8.62	27.83	28.83	23.86	28.83	15.71	195	54	0	106.93	128	2	128	41
"Cucurbita_cordata"	-112.441667	26.358333	"MEX"	"baseline"	22.46	17.48	62.18	417.26	36.9	8.8	28.11	28.19	22.32	28.19	17.72	123	26	0	78.42	57	1	57	45
"Cucurbita_cordata"	-112.473333	26.260556	"MEX"	"baseline"	22.07	17.71	63.19	401.39	36.4	8.37	28.03	17.64	21.62	27.7	17.64	100	19	0	76.63	44	0	38	44
"Cucurbita_cordata"	-112.530679	26.296936	"MEX"	"baseline"	22.22	17.94	63.75	397.85	36.63	8.49	28.14	17.79	21.8	27.77	17.79	105	20	0	75.13	44	1	41	44
"Cucurbita_cordata"	-112.599944	26.350028	"MEX"	"baseline"	22.01	18.2	64.69	383.61	36.5	8.37	28.13	26.5	21.54	27.37	17.74	105	20	0	74.75	44	0	43	43
"Cucurbita_cordata"	-112.6	26.35	"MEX"	"baseline"	22.01	18.2	64.69	383.61	36.5	8.37	28.13	26.5	21.54	27.37	17.74	105	20	0	74.75	44	0	43	43
"Cucurbita_cordata"	-112.6	26.35	"MEX"	"baseline"	22.01	18.2	64.69	383.61	36.5	8.37	28.13	26.5	21.54	27.37	17.74	105	20	0	74.75	44	0	43	43
"Cucurbita_cordata"	-112.608333	26.358333	"MEX"	"baseline"	22.01	18.2	64.69	383.61	36.5	8.37	28.13	26.5	21.54	27.37	17.74	105	20	0	74.75	44	0	43	43
"Cucurbita_cordata"	-112.825	27.291667	"MEX"	"baseline"	21.6	16.81	57.11	478.27	37.25	7.82	29.43	27.97	22.12	27.97	16.03	127	30	0	86.37	69	1	69	37
"Cucurbita_cordata"	-112.87667	28.30417	"MEX"	"baseline"	22.85	12.24	46.68	576.7	35.9	9.68	26.22	28.7	23.72	30.34	16.27	96	23	0	82.47	49	1	47	32
"Cucurbita_cordata"	-112.902778	27.303333	"MEX"	"baseline"	21.69	17.26	58.51	463.75	37.42	7.92	29.5	27.91	22.11	27.91	16.33	118	27	0	82.73	61	0	61	38
"Cucurbita_cordata"	-112.975	27.1	"MEX"	"baseline"	21.86	17.78	61.28	422.46	37.24	8.23	29.01	26.45	21.96	27.6	17.02	98	19	0	73.67	44	0	43	37
"Cucurbita_cordata"	-112.9822799	26.9107262	"MEX"	"baseline"	21.62	17.84	62.41	401.66	36.91	8.33	28.58	26.1	21.57	27.13	17.05	106	19	0	72.41	46	0	44	42
"Cucurbita_cordata"	-112.991667	27.108333	"MEX"	"baseline"	21.86	17.78	61.28	422.46	37.24	8.23	29.01	26.45	21.96	27.6	17.02	98	19	0	73.67	44	0	43	37
"Cucurbita_cordata"	-112.991667	27.108333	"MEX"	"baseline"	21.86	17.78	61.28	422.46	37.24	8.23	29.01	26.45	21.96	27.6	17.02	98	19	0	73.67	44	0	43	37
"Cucurbita_cordata"	-112.991667	27.108333	"MEX"	"baseline"	21.86	17.78	61.28	422.46	37.24	8.23	29.01	26.45	21.96	27.6	17.02	98	19	0	73.67	44	0	43	37
"Cucurbita_cordata"	-113.008333	28.008333	"MEX"	"baseline"	19.88	14.69	51.35	537.16	35.54	6.93	28.6	26.98	20.48	26.98	13.85	189	39	0	73.57	90	4	90	62
"Cucurbita_cordata"	-113.025	27.691667	"MEX"	"baseline"	19.76	15.74	52.88	539.53	35.94	6.17	29.76	26.74	20.69	26.74	13.56	215	51	0	83.72	113	3	113	63
"Cucurbita_cordata"	-113.025	27.691667	"MEX"	"baseline"	19.76	15.74	52.88	539.53	35.94	6.17	29.76	26.74	20.69	26.74	13.56	215	51	0	83.72	113	3	113	63
